HERO, FARM PRIORITY
Anti-Mage,0.1794
Faceless Void,0.1736
Luna,0.1659
Huskar,0.162
Drow Ranger,0.1594
Lone Druid,0.1554
Alchemist,0.1539
Clinkz,0.1529
Medusa,0.1523
Lycan,0.152
Meepo,0.1517
Phantom Assassin,0.1508
Terrorblade,0.15
Ember Spirit,0.15
Spectre,0.1471
Lifestealer,0.1469
Sniper,0.1447
Troll Warlord,0.1413
Bloodseeker,0.141
Ursa,0.1372
Doom,0.1369
Weaver,0.1367
Wraith King,0.134
Arc Warden,0.1334
Shadow Fiend,0.1333
Juggernaut,0.1301
Storm Spirit,0.1291
Morphling,0.129
Outworld Devourer,0.1287
Broodmother,0.1265
Phantom Lancer,0.1255
Viper,0.1232
Templar Assassin,0.123
Legion Commander,0.12
Slark,0.1184
Dragon Knight,0.1184
Sven,0.1158
Riki,0.1155
Gyrocopter,0.113
Naga Siren,0.1125
Chaos Knight,0.1121
Kunkka,0.1116
Night Stalker,0.1111
Tiny,0.11
Timbersaw,0.1079
Queen of Pain,0.1075
Chen,0.1061
Nature's Prophet,0.1054
Necrophos,0.1052
Razor,0.1046
Spirit Breaker,0.1008
Invoker,0.1004
Bounty Hunter,0.0975
Death Prophet,0.097
Centaur Warrunner,0.0965
Bristleback,0.0965
Mirana,0.0948
Venomancer,0.094
Enigma,0.0939
Beastmaster,0.0925
Leshrac,0.0899
Tinker,0.089
Abaddon,0.088
Silencer,0.0871
Skywrath Mage,0.085
Slardar,0.0821
Windranger,0.0816
Winter Wyvern,0.073
Shadow Shaman,0.0805
Elder Titan,0.08
Brewmaster,0.0799
Tusk,0.0798
Visage,0.0796
Pudge,0.0779
Axe,0.0773
Earth Spirit,0.077
Dazzle,0.077
Dark Seer,0.0761
Clockwerk,0.0758
Puck,0.0757
Vengeful Spirit,0.0751
Zeus,0.075
Disruptor,0.0743
Wisp,0.074
Witch Doctor,0.0739
Warlock,0.0738
Enchantress,0.0735
Tidehunter,0.0731
Crystal Maiden,0.073
Lion,0.0729
Lich,0.0721
Techies,0.072
Magnus,0.0717
Lina,0.0675
Oracle,0.067
Shadow Demon,0.0669
Pugna,0.0669
Batrider,0.0666
Bane,0.0662
Ancient Apparition,0.0659
Undying,0.0651
Io,0.0616
Nyx Assassin,0.0608
Phoenix,0.06
Sand King,0.0563
Treant Protector,0.0531
Rubick,0.0493
Jakiro,0.0488
Ogre Magi,0.0449
Omniknight,0.0438
Earthshaker,0.0414
Keeper of the Light,0.0053
