position,team name,country,wins,losses,win %,last played,glicko2 rating,glicko2 mu,glicko2 phi,glicko rating,glicko mu,glicko sigma,elo rating,elo avg active,elo weekly avg,elo monthly avg,delta week,delta month
1,EHOME,China,189,134,58.51%,25-Feb-16,1840.65,1947.81,42.87,1500.5,1814.76,125.71,1256.75,1354.19,1427.4,1482.58,-241.6,-88.9
2,Alliance,Sweden,564,342,62.25%,26-Feb-16,1775.57,1890.24,45.87,1852.94,2221.87,147.57,1483.79,1252.97,1434.8,1442.46,54.1,24.8
3,OG,Unknown,128,54,70.33%,31-Jan-16,1859.48,1971.7,44.89,1672.62,2122.05,179.77,1361.85,1409.09,1364.98,1383.74,-6.3,-76.9
4,EG,United States,646,395,62.06%,31-Jan-16,1831.56,1942.24,44.27,1582.96,2015.77,173.12,1327.97,1377.39,1330.8,1338.62,-5.7,59.7
5,LGD.cn,China,560,363,60.67%,30-Jan-16,1836.75,1945.69,43.58,1602.66,2039.17,174.61,1298.54,1343.58,1301.13,1314.13,-5.2,-93.6
6,VG,China,520,303,63.18%,26-Feb-16,1821.39,1936.15,45.9,1548.03,1860.62,125.04,1177.51,1354.79,1268.59,1293.8,-108.3,-226.3
7,Vega,Ukraine,218,154,58.60%,19-Feb-16,1739.8,1841.8,40.8,1691.52,1934.79,97.31,1337.2,1279.03,1340.11,1292.7,-5.8,61.2
8,Liquid,International,434,287,60.19%,11-Feb-16,1795.81,1904.43,43.45,1655.7,1982.13,130.57,1223.18,1338.56,1225.11,1262.53,-3.9,-102.1
9,coL 2,United States,207,176,54.05%,16-Feb-16,1697.41,1799.88,40.99,1686.9,1917.57,92.27,1336.68,1227.91,1339.59,1262.17,-5.8,101.5
10,Empire,Russian,756,475,61.41%,19-Feb-16,1733.31,1831.15,39.14,1671.71,1919.53,99.13,1264.94,1248.93,1267.23,1249.3,-4.6,3.9
11,Nb,China,277,204,57.59%,30-Jan-16,1730.44,1844.88,45.77,1530.69,1961.81,172.45,1234.15,1195.91,1236.17,1243.88,-4.1,-1.8
12,TSpirit,Unknown,77,62,55.40%,26-Feb-16,1700.91,1805.31,41.76,1784.54,1879.04,37.8,1258.78,1239.75,1260.27,1232.91,-3.6,78.3
13,NaVi,Ukraine,647,419,60.69%,26-Feb-16,1684.41,1793.36,43.58,1753.02,1910.11,62.84,1239.87,1255.17,1220.21,1232.18,34.2,77.9
14,Fnatic.MY,Malaysia,166,100,62.41%,26-Feb-16,1724.26,1839.69,46.17,1664.95,1936.56,108.64,1250.74,1159.46,1217.28,1219.92,37.5,23
15,DC,Unknown,78,57,57.78%,16-Feb-16,1675.26,1786.87,44.64,1628.94,1868.31,95.75,1222.23,1206.85,1224.15,1213.34,-3.9,56.5
16,Secret,International,238,105,69.39%,25-Feb-16,1802.22,1913.44,44.49,1628.63,1918.95,116.13,1236.52,1272.3,1209.73,1208.63,36.5,-5.8
17,LC,Greece,64,66,49.23%,25-Feb-16,1597.38,1730.97,53.44,1633.96,1822.66,75.48,1148.39,1191.01,1144.15,1179.06,5.2,-23.9
18,AF 3,Unknown,23,12,65.71%,25-Feb-16,1619.57,1800.52,72.38,1613.9,1800.56,74.66,1248.42,1133.43,1224.98,1178.63,32.8,136.7
19,E.Wolves,Unknown,57,45,55.88%,26-Feb-16,1594.32,1710.22,46.36,1655.98,1780.94,49.98,1230.77,1167.47,1212.04,1167.03,22,130.7
20,FF,Unknown,44,33,57.14%,24-Feb-16,1635.14,1755.68,48.22,1689.01,1804.34,46.13,1184.78,1156.14,1210.89,1158.92,-40.7,24.9
21,TR 2,Unknown,12,4,75.00%,6-Feb-16,1485.33,1801,126.27,1141.45,1723.33,232.75,1106.3,1108.74,1107.22,1134.7,-1.8,-89.6
22,TeamRO,Unknown,10,6,62.50%,6-Feb-16,1550.14,1873,129.14,1366.55,1912.53,218.39,1136.71,1062.39,1137.89,1112.65,-2.4,129.3
23,MVP Phoenix,South Korea,267,216,55.28%,25-Feb-16,1657.6,1772.31,45.89,1686.05,1954.12,107.23,1256.25,1126.58,1134.84,1102.11,169.6,104.4
24,HR,Russian,148,158,48.37%,20-Feb-16,1569.09,1690.83,48.69,1434.78,1708.31,109.41,1049.57,1066.94,1050,1086.1,-0.9,-47.3
25,CDEC,China,227,176,56.33%,25-Feb-16,1734.35,1855.89,48.61,1444.62,1814.82,148.08,1100.65,1222.83,1085.56,1083.4,20.7,15.3
26,Archon,Unknown,54,41,56.84%,15-Feb-16,1555.3,1689.14,53.53,1458.63,1754.61,118.39,1057.36,1101.07,1057.86,1080.28,-1,-42.2
27,Power Rangers,Belarus,333,368,47.50%,26-Feb-16,1556.72,1674.91,47.28,1527.57,1713.62,74.42,1106.7,1064.99,1068.54,1076.08,47.3,70
28,Averia,Unknown,3,0,100.00%,16-Feb-16,1374.77,1824.51,179.9,1341.3,1855.27,205.59,1072.57,1074.68,1073.2,1073.62,-1.3,??
29,ATN,Poland,39,53,42.39%,18-Feb-16,1501.71,1634.68,53.19,1357.34,1691.06,133.49,1050.66,1058.94,1051.1,1072.66,-0.9,-41.7
30,Infamous 2,Unknown,11,16,40.74%,22-Feb-16,1445.09,1643.62,79.41,1524.68,1732.96,83.31,1024.54,1019.64,1036.13,1066.6,-40.3,42.1
31,Taring,Unknown,9,6,60.00%,3-Feb-16,1427.34,1700,109.06,1297.91,1787.04,195.65,1059.39,1050.83,1059.9,1056.5,-1,22.2
32,First Departure,Singapore,178,182,49.44%,25-Feb-16,1492.46,1625.21,53.1,1216.89,1543.14,130.5,952.83,967.4,999.93,1055.14,-116.7,-121.4
33,PoF 2,Unknown,14,14,50.00%,12-Feb-16,1442.88,1630.95,75.23,1330.67,1687.7,142.81,1035.75,1020.7,1036.06,1035.6,-0.6,12.8
34,DT5,Unknown,1,0,100.00%,15-Feb-16,936.05,1662.31,290.51,909.58,1662.21,301.05,1030.91,1031.91,1031.18,1031.41,-0.5,??
35,Mineski,Philippines,265,279,48.71%,23-Feb-16,1625.87,1742.06,46.47,1556.69,1792.67,94.39,1083.39,1069.26,1041.84,1025.73,97.5,75.3
36,TNC,Unknown,64,57,52.89%,17-Feb-16,1549.79,1682.14,52.94,1344.29,1665.87,128.63,980.75,1023.49,980.59,1007.26,0.3,-9.6
37,CHAMPLOO,Unknown,3,2,60.00%,17-Feb-16,1241.33,1634.82,157.4,1192.95,1643.17,180.09,1023.38,1007.66,1023.58,1006.04,-0.4,43
38,Shazam,Unknown,26,22,54.17%,26-Feb-16,1511.57,1659.04,58.99,1552.46,1710.23,63.11,1002.68,1041.11,1004.74,1003,24.1,-66.2
39,COOKISS,Unknown,12,15,44.44%,25-Feb-16,1429.15,1622.21,77.23,1438.88,1649.21,84.13,1049.09,984.47,1053.12,1002.26,2.7,86.2
40,TBE 2,Unknown,3,7,30.00%,25-Feb-16,1239.46,1655.18,166.28,945.81,1561.08,246.11,974.72,966.73,984.14,986.67,-13.1,-12.3
41,HWA 2,Unknown,1,2,33.33%,6-Feb-16,1057.25,1535.6,191.34,936.34,1536.15,239.92,984.29,983.39,984.16,983.84,0.3,??
42,NLG,Unknown,30,46,39.47%,5-Feb-16,1487.29,1620.96,53.47,1252.48,1644.27,156.71,994.95,1002.54,994.91,983.34,0.1,43.6
43,Redeem,Unknown,6,9,40.00%,25-Feb-16,1355.9,1622.43,106.61,1346.85,1728.71,152.74,999.12,976.54,997.05,981.33,14.1,44.3
44,Freedom,Unknown,1,2,33.33%,31-Jan-16,1023.98,1498.9,189.97,905.32,1561.87,262.62,979.5,993.75,979.33,979.83,0.3,??
45,PD 2,Unknown,22,29,43.14%,26-Feb-16,1469.74,1615.38,58.26,1296.63,1553.44,102.73,906.99,1024.87,942.51,979.43,-48.5,-128.9
46,CL,International,71,74,48.97%,1-Feb-16,1595.42,1715.8,48.15,1188.13,1608.88,168.3,966.23,1147.7,965.94,971.24,0.6,-45.6
47,CC team,Unknown,0,1,0.00%,15-Feb-16,611.42,1337.69,290.51,585.15,1337.79,301.05,969.07,968.09,968.8,968.58,0.5,??
48,TR 3,Unknown,3,5,37.50%,31-Jan-16,1060.28,1476.61,166.53,851.1,1434.5,233.36,963.26,1022.58,962.95,967.76,0.6,-57.6
49,cG 5,Unknown,0,1,0.00%,6-Feb-16,734.63,1396.61,264.79,645.81,1412.35,306.61,967.53,965.64,967.26,966.6,0.6,??
50,YeS 2,Unknown,16,27,37.21%,16-Feb-16,1368.2,1539.35,68.46,1124.38,1491.81,146.97,905.51,964.58,904.7,963.97,1.6,-128.4
51,Unknown 3,Unknown,2,4,33.33%,6-Feb-16,1041.97,1433.23,156.5,819.28,1429.41,244.05,948.98,999.92,948.55,962.11,0.9,-47.2
52,NME,Unknown,10,16,38.46%,25-Feb-16,1335.99,1535.81,79.93,1219.78,1536.14,126.55,907.35,993.05,913.87,953.44,-8.7,-98.7
53,PRIES 2,Unknown,22,21,51.16%,23-Feb-16,1404.9,1575.53,68.25,1289.6,1538.11,99.41,907.08,1007.66,915.51,950.9,-20,-71
54,paiN,Brazil,55,106,34.16%,8-Feb-16,1321.41,1493.92,69,983.59,1522.17,215.43,935.61,913.13,935.06,949.66,1.1,-40.9
55,99,Unknown,0,6,0.00%,9-Feb-16,873.95,1320.51,178.63,770.3,1344.1,229.52,935.89,953.34,935.34,941.23,1.1,??
56,4ASC,Finland,82,126,39.42%,7-Feb-16,1480.22,1613.38,53.26,1171.02,1573.63,161.04,908.06,1006.05,907.27,916.55,1.6,-29.7
57,SiG.Tr,Thailand,259,278,48.23%,16-Feb-16,1479.71,1606.4,50.68,1234.75,1535.42,120.27,845.95,962.83,844.62,903.89,2.7,-101
58,WG 2,Unknown,0,13,0.00%,25-Feb-16,813.49,1175.18,144.68,770.42,1162.22,156.72,789.26,867.04,796.09,843.23,-9.6,-119.8
59,XctN 2,Unknown,6,20,23.08%,25-Feb-16,1278.48,1510.78,92.92,1356.11,1678.94,129.13,936.57,848.21,932.86,820.31,5.6,161.6
60,LvT,United States,71,99,41.76%,9-Feb-16,1396.95,1524.52,51.03,1099.65,1455.75,142.44,799.05,867.79,,,,
